DEFINITION_NAME	IS_ACTIVE	LAST_MODIFY_USER	PROCESS_FAMILY	TRIGGER_OPERATION	SITE	FAB	DEFINITION_TYPE	INTEG_LAYER	DEFECT_LAYER	INTEGRATION_LAYER
PROCESS:WE-DRTcb	Y	AMR\DHOWLETT	PROCESS:W_8M8_BSCB	W_8M8_BSCB	D1D	D1D	Treatment Rule	600_M08	NA	
EQUIP:HRBCIPHW:TD-HRBck	Y	AMR\SUCHICHA	EQUIP:HRBCIPHW:T_8V8_ILD_DEP	T_8V8_ILD_DEP	D1D	D1D	Treatment Rule	610_M09	NA	
PROCESS:WE-DRTcu	Y	AMR\SMSARIFR	PROCESS:W_8M9_SCB	W_8M9_SCB	D1D	D1D	Other	610_M09	NA	
PROCESS:WE-DRTcu	Y	AMR\SMSARIFR	PROCESS:W_8V7_SCB	W_8V7_SCB	D1D	D1D	Other	600_M08	NA	
EQUIP:AMECT_LINERS:DE-AMEct	Y	AMR\MBARUA	EQUIP:AMECT_LINERS:E_8M10_HM_ETCH	E_8M10_HM_ETCH	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:PAC:TD-DVDcl	Y	AMR\MMAITLAN	EQUIP:PAC:T_8M10_OX_CAP	T_8M10_OX_CAP	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:HRVA_LEOCB_1278:WE-LEOcb	Y	AMR\MDFOYSAL	EQUIP:HRVA_LEOCB_1278:W_8M8_HM_CLN	W_8M8_HM_CLN	D1D	D1D	Treatment Rule	600_M08	NA	
EQUIP:PLICS_DAM_INSTALL_FOR_DRIP_GFA:PL-PLIcs	Y	AMR\VINEETHN	EQUIP:PLICS_DAM_INSTALL_FOR_DRIP_GFA:P_8M8_CMP	P_8M8_CMP	D1D	D1D	Treatment Rule	600_M08	NA	
EQUIP:PLICS_WET_IDLE_EC_IMPLEMENTATION:PL-PLIcs	Y	AMR\VINEETHN	EQUIP:PLICS_WET_IDLE_EC_IMPLEMENTATION:P_8M8_CMP	P_8M8_CMP	D1D	D1D	Treatment Rule	600_M08	NA	
PROCESS:ALBATROSS:TD-XCLcu	Y	AMR\MBABB	PROCESS:ALBATROSS:T_8V7_ES_DEP	T_8V7_ES_DEP	D1D	D1D	Treatment Rule	600_M08	600_M08	
PROCESS:ALBATROSS:TD-XCLcu	Y	AMR\MBABB	PROCESS:ALBATROSS:T_8V9_ES_DEP	T_8V9_ES_DEP	D1D	D1D	Treatment Rule	620_M10	620_M10	
EQUIP:B227P4_PILOT:TF-EPFcg	Y	AMR\JEESOOSE	EQUIP:B227P4_PILOT:T_8M10_EPN	T_8M10_EPN	D1D	D1D	Other	620_M10	NA	
DUV_DVDCL_PTB_MP	Y	AMR\PHJOSHI	DUV_DVDCL_PTB_MP	T_8M5_OX_CAP,T_8M10_OX_CAP,T_8M14_OX_CAP	D1D	D1D	Universal Process Label	660_M14	NA	M05
EQUIP:XCLCU_PAC:TD-XCLcu	Y	AMR\MBABB	EQUIP:XCLCU_PAC:T_8V8_ES_DEP	T_8V8_ES_DEP	D1D	D1D	Treatment Rule	610_M09	610_M09	
EQUIP:BARC_TBF_CIPAMC_9110D_1000:LI-TBEbc	Y	AMR\WMCGINLE	EQUIP:BARC_TBF_CIPAMC_9110D_1000:L_8M8_CHM_DEP	L_8M8_CHM_DEP	D1D	D1D	Treatment Rule	600_M08	NA	
EQUIP:BARC_TBF_CIPAMC_9110D_1000:LI-TBEbc	Y	AMR\WMCGINLE	EQUIP:BARC_TBF_CIPAMC_9110D_1000:L_8M10_CHM_DEP	L_8M10_CHM_DEP	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:R3HRVA_LEOCB_1278:WE-LEOcb	Y	AMR\SYEKKALU	EQUIP:R3HRVA_LEOCB_1278:W_8M9_HM_CLN	W_8M9_HM_CLN	D1D	D1D	Treatment Rule	610_M09	NA	
EQUIP:BARC_TBF_LPCLEAN:LI-TBEbc	Y	AMR\WMCGINLE	EQUIP:BARC_TBF_LPCLEAN:L_8V9_CHM_DEP	L_8V9_CHM_DEP	D1D	D1D	Treatment Rule	620_M10	NA	
EQUIP:BURSTPURGE:TD-DVDcl	Y	AMR\MMAITLAN	EQUIP:BURSTPURGE:T_8M9_OX_CAP	T_8M9_OX_CAP	D1D	D1D	Treatment Rule	610_M09	NA	
EQUIP:AUVRHCIPKIT:TD-AUVcu	Y	AMR\NPURWANT	EQUIP:AUVRHCIPKIT:T_8V7_ILD_CURE	T_8V7_ILD_CURE	D1D	D1D	Treatment Rule	600_M08	NA	
EQUIP:B227P8_PILOT:TF-EPFca	Y	AMR\JEESOOSE	EQUIP:B227P8_PILOT:T_8M9_EPN	T_8M9_EPN	D1D	D1D	Other	610_M09	NA	
EQUIP:CTI_DGB:TF-CTIce	Y	AMR\GSAVITHR	EQUIP:CTI_DGB:T_8V8_HM_DEP	T_8V8_HM_DEP	D1D	D1D	Treatment Rule	610_M09	NA	
PDUI_TIME_M8	Y	AMR\PJZAPATA	TIME_M8	P_8M8_CMP	D1D	D1D	Other	600_M08	NA	
VAX_ILD_DEP	Y	AMR\PGARG3	V7_ILD	T_8V7_ILD_DEP	D1D	D1D	Universal Process Label	600_M08	600_M08	600_M08
MX_CMP_DUV	Y	AMR\PGARG3	M8_CMP	P_8M8_CMP	D1D	D1D	Universal Process Label	600_M08	NA	600_M08
EQUIP:LEOCB:WE-LEOcb	Y	AMR\DISHARAV	EQUIP:LEOCB:W_8M9_HMR	W_8M9_HMR	D1D	D1D	Treatment Rule	610_M09	NA	
SMH_BAR_SEED_TYPE	Y	AMR\JPEDRAZA	SMH_BAR_SEED_TYPE	C_SMH_BAR_SEED	D1D	D1D	Other	918_HBI_SRDL	NA	
EQUIP:LAM_PAC:TD-DVDco	Y	AMR\STHAYDEN	EQUIP:LAM_PAC:T_8M9_HM2_DEP	T_8M9_HM2_DEP	D1D	D1D	Treatment Rule	610_M09	NA	
PROCESS:80P_ROADRUNNER:DE-AMEct	Y	AMR\WAIYIPLO	PROCESS:80P_ROADRUNNER:E_8M10_HM_ETCH	E_8M10_HM_ETCH	D1D	D1D	Treatment Rule	620_M10	NA	
